#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-11-26T22:01:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54764d6512f9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJS/208/9&tab:{J/ApJS/208/9/table5}&key:source=J/ApJS/208/9/table5&HTTPPRM:&&-ref=VIZ54764d6512f9&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-source=J/ApJS/208/9/table5
#-order=I
#-out=SpT
#-out=Teff
#-out=BCV
#-out=U-B
#-out=B-V
#-out=V-Rc
#-out=V-Ic
#-out=V-J
#-out=V-H
#-out=V-Ks
#-out=K-W1
#-out=K-W2
#-out=K-W3
#-out=K-W4
#
#
#RESOURCE=yCat_22080009
#Name: J/ApJS/208/9
#Title: Intrinsic colors and temperatures of PMS stars (Pecaut+, 2013)
#Table	J_ApJS_208_9_table5:
#Name: J/ApJS/208/9/table5
#Title: Intrinsic colors of O9-M9 dwarfs and adopted Teff, bolometric correction values
#Column	SpT	(A5)	MK spectral type	[ucd=src.spType]
#Column	Teff	(I5)	[2450/34000] Effective temperature	[ucd=phys.temperature.effective]
#Column	BCV	(F5.2)	[-5.73/0] The V band bolometric correction	[ucd=phot.mag.bc]
#Column	U-B	(F6.3)	[-1.114/1.433]? Johnson color index U-B	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	B-V	(F6.3)	[-0.318/2.13]? Johnson color index B-V	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	V-Rc	(F6.3)	[-0.115/2.18]? Johnson-Cousins color index V-Rc	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	V-Ic	(F6.3)	[-0.369/4.6] Johnson-Cousins color index V-Ic	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	V-J	(F6.3)	[-0.765/7.617] Johnson-2MASS color index V-J	[ucd=phot.color;em.opt.V;em.IR.J]
#Column	V-H	(F6.3)	[-0.929/8.366] Johnson-2MASS color index V-H	[ucd=phot.color;em.opt.V;em.IR.H]
#Column	V-Ks	(F6.3)	[-1/8.85] Johnson-2MASS color index V-Ks	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	K-W1	(F6.3)	[0.023/0.212]? Johnson-WISE color index K-W1	[ucd=phot.color;em.IR;em.IR]
#Column	K-W2	(F6.3)	[0.001/0.38]? Johnson-WISE color index K-W2	[ucd=phot.color;em.IR;em.IR]
#Column	K-W3	(F6.3)	[-0.021/0.544]? Johnson-WISE color index K-W3	[ucd=phot.color;em.IR;em.IR]
#Column	K-W4	(F6.3)	[0.044/0.669]? Johnson-WISE color index K-W4	[ucd=phot.color;em.IR;em.IR]
SpT|Teff|BCV|U-B|B-V|V-Rc|V-Ic|V-J|V-H|V-Ks|K-W1|K-W2|K-W3|K-W4
F2V  | 6810|-0.02|-0.008| 0.374| 0.213| 0.432| 0.735| 0.875| 0.925| 0.031| 0.034|-0.017| 0.050
F3V  | 6720|-0.03|-0.016| 0.389| 0.222| 0.449| 0.763| 0.910| 0.961| 0.032| 0.034|-0.016| 0.049
F4V  | 6640|-0.04|-0.026| 0.412| 0.236| 0.476| 0.806| 0.965| 1.017| 0.035| 0.033|-0.014| 0.048
F5V  | 6510|-0.04|-0.029| 0.438| 0.252| 0.506| 0.852| 1.025| 1.079| 0.037| 0.032|-0.012| 0.047
F6V  | 6340|-0.05|-0.021| 0.484| 0.276| 0.553| 0.929| 1.128| 1.185| 0.041| 0.030|-0.007| 0.045
F7V  | 6240|-0.06|-0.012| 0.510| 0.290| 0.579| 0.971| 1.184| 1.244| 0.043| 0.028|-0.005| 0.045
F8V  | 6150|-0.07| 0.001| 0.530| 0.300| 0.599| 1.004| 1.229| 1.290| 0.045| 0.027|-0.003| 0.044
F9V  | 6040|-0.08| 0.014| 0.552| 0.312| 0.620| 1.040| 1.277| 1.340| 0.046| 0.026|-0.001| 0.044
G0V  | 5920|-0.09| 0.049| 0.588| 0.331| 0.656| 1.097| 1.355| 1.421| 0.049| 0.024| 0.003| 0.045
G1V  | 5880|-0.10| 0.067| 0.604| 0.340| 0.672| 1.123| 1.390| 1.458| 0.050| 0.023| 0.005| 0.045
G2V  | 5770|-0.11| 0.133| 0.650| 0.363| 0.713| 1.197| 1.491| 1.564| 0.053| 0.020| 0.009| 0.046
G3V  | 5720|-0.12| 0.152| 0.661| 0.368| 0.722| 1.217| 1.516| 1.590| 0.053| 0.019| 0.010| 0.047
G4V  | 5680|-0.13| 0.175| 0.674| 0.374| 0.733| 1.239| 1.546| 1.621| 0.054| 0.018| 0.011| 0.048
G5V  | 5660|-0.13| 0.185| 0.680| 0.377| 0.738| 1.249| 1.559| 1.635| 0.055| 0.017| 0.012| 0.048
G6V  | 5590|-0.15| 0.229| 0.704| 0.388| 0.758| 1.288| 1.612| 1.691| 0.056| 0.016| 0.014| 0.050
G7V  | 5530|-0.16| 0.243| 0.713| 0.393| 0.766| 1.303| 1.632| 1.712| 0.056| 0.015| 0.015| 0.050
G8V  | 5490|-0.17| 0.284| 0.737| 0.404| 0.786| 1.344| 1.686| 1.768| 0.058| 0.013| 0.017| 0.052
G9V  | 5340|-0.21| 0.358| 0.777| 0.423| 0.820| 1.409| 1.774| 1.861| 0.059| 0.010| 0.020| 0.056
K0V  | 5280|-0.22| 0.436| 0.816| 0.443| 0.853| 1.475| 1.862| 1.953| 0.061| 0.007| 0.023| 0.060
K1V  | 5170|-0.26| 0.502| 0.847| 0.460| 0.883| 1.535| 1.940| 2.034| 0.063| 0.005| 0.025| 0.064
K2V  | 5040|-0.29| 0.600| 0.893| 0.487| 0.929| 1.624| 2.056| 2.155| 0.065| 0.003| 0.029| 0.070
K3V  | 4840|-0.41| 0.801| 0.990| 0.544| 1.025| 1.810| 2.300| 2.410| 0.070| 0.001| 0.039| 0.086
K4V  | 4620|-0.55| 1.004| 1.100| 0.640| 1.190| 2.064| 2.608| 2.733| 0.078| 0.008| 0.059| 0.112
K5V  | 4450|-0.67| 1.056| 1.134| 0.671| 1.246| 2.145| 2.705| 2.835| 0.082| 0.014| 0.067| 0.121
K6V  | 4200|-0.86| 1.199| 1.257| 0.771| 1.448| 2.434| 3.039| 3.190| 0.096| 0.044| 0.110| 0.165
K7V  | 4050|-1.00| 1.222| 1.336| 0.824| 1.574| 2.616| 3.239| 3.407| 0.106| 0.072| 0.144| 0.200
K8V  | 3970|-1.11| 1.213| 1.382| 0.859| 1.671| 2.743| 3.373| 3.554| 0.113| 0.094| 0.171| 0.228
K9V  | 3880|-1.25| 1.198| 1.418| 0.900| 1.802| 2.907| 3.531| 3.728| 0.122| 0.123| 0.204| 0.265
M0V  | 3850|-1.30| 1.190| 1.431| 0.913| 1.848| 2.965| 3.587| 3.790| 0.125| 0.134| 0.217| 0.280
M1V  | 3680|-1.53| 1.171| 1.484| 0.974| 2.074| 3.265| 3.873| 4.100| 0.140| 0.191| 0.280| 0.357
M2V  | 3550|-1.65| 1.170| 1.500| 1.001| 2.173| 3.406| 4.006| 4.240| 0.146| 0.217| 0.308| 0.393
M3V  | 3400|-1.97| 1.181| 1.544| 1.079| 2.420| 3.769| 4.348| 4.600| 0.160| 0.277| 0.374| 0.481
M4V  | 3200|-2.59| 1.215| 1.661| 1.241| 2.831| 4.411| 4.968| 5.250| 0.182| 0.348| 0.465| 0.586
M5V  | 3050|-3.28| 1.433| 1.874| 1.446| 3.277| 5.051| 5.631| 5.942| 0.212| 0.380| 0.544| 0.669
M6V  | 2800|-4.36|      | 2.000| 1.950| 4.100| 6.343| 6.948| 7.300|      |      |      |
M7V  | 2650|-5.06|      | 2.060| 2.180| 4.520| 7.054| 7.667| 8.050|      |      |      |
M8V  | 2570|-5.66|      | 2.130| 2.150| 4.600| 7.593| 8.268| 8.700|      |      |      |
M9V  | 2450|-5.73|      |      | 1.890| 4.370| 7.617| 8.366| 8.850|      |      |      |

